station_id,num_bikes_available,last_reported,is_renting,num_docks_available,eightd_has_available_keys,is_returning,station_status,num_ebikes_available,num_bikes_disabled,is_installed,num_docks_disabled,legacy_id,valet,eightd_active_station_services
72,0,1656077952,0,55,False,0,out_of_service,0,0,0,0,72,,
79,12,1656533032,1,19,False,1,active,1,2,1,0,79,,
82,20,1656535375,1,6,False,1,active,0,1,1,0,82,,
83,34,1656535533,1,25,False,1,active,1,3,1,0,83,,
116,0,86400,0,0,False,0,out_of_service,0,0,0,0,116,,
119,52,1656535096,1,0,False,1,active,1,1,1,0,119,,
120,5,1656535367,1,13,False,1,active,0,0,1,0,120,,
127,15,1656535265,1,14,False,1,active,0,2,1,0,127,,
128,44,1656535400,1,9,False,1,active,2,2,1,0,128,,
143,44,1656535584,1,5,False,1,active,0,1,1,0,143,,
144,57,1656533366,1,0,False,1,active,0,1,1,0,144,,
146,44,1656535587,1,8,False,1,active,2,3,1,0,146,,
150,7,1656535537,1,48,False,1,active,1,1,1,0,150,,
151,12,1656535536,1,11,False,1,active,0,9,1,0,151,,
152,47,1656535562,1,0,False,1,active,1,2,1,0,152,,
153,26,1656534913,1,35,False,1,active,1,2,1,0,153,,
157,19,1656535066,1,3,False,1,active,1,1,1,0,157,,
161,19,1656535562,1,13,False,1,active,0,3,1,0,161,,
164,59,1656535437,1,14,False,1,active,1,4,1,0,164,,
168,31,1656535510,1,11,False,1,active,2,5,1,0,168,,
174,12,1656535158,1,22,False,1,active,0,1,1,0,174,,
212,55,1656535567,1,1,False,1,active,1,4,1,0,212,,
216,25,1656535302,1,10,False,1,active,2,2,1,0,216,,
217,9,1656535372,1,1,False,1,active,2,28,1,0,217,,
223,0,1656535536,1,0,False,1,active,0,6,1,27,223,,
224,21,1656535529,1,9,False,1,active,1,4,1,0,224,,
228,0,86400,0,0,False,0,active,0,0,1,0,228,,
229,16,1656535554,1,3,False,1,active,1,2,1,0,229,,
232,48,1656535242,1,1,False,1,active,0,1,1,0,232,,
236,22,1656535319,1,26,False,1,active,0,2,1,0,236,,
238,12,1656535547,1,17,False,1,active,3,2,1,0,238,,
239,54,1656535336,1,6,False,1,active,1,1,1,1,239,,
241,18,1656535564,1,5,False,1,active,0,0,1,0,241,,
242,0,86400,0,0,False,0,out_of_service,0,0,0,0,242,,
244,13,1656535541,1,37,False,1,active,0,1,1,0,244,,
245,50,1656535377,1,3,False,1,active,3,3,1,0,245,,
247,49,1656535492,1,3,False,1,active,5,6,1,0,247,,
248,74,1656532220,1,14,False,1,active,0,3,1,0,248,,
249,23,1656535162,1,4,False,1,active,0,0,1,0,249,,
250,35,1656535432,1,2,False,1,active,2,3,1,0,250,,
251,20,1656535582,1,3,False,1,active,3,2,1,0,251,,
252,10,1656535516,1,19,False,1,active,3,3,1,0,252,,
254,5,1656535588,1,41,False,1,active,0,1,1,0,254,,
257,32,1656535490,1,36,False,1,active,1,2,1,0,257,,
258,2,1656535506,1,18,False,1,active,0,3,1,0,258,,
259,24,1656535405,1,8,False,1,active,0,7,1,0,259,,
260,18,1656535458,1,13,False,1,active,0,1,1,0,260,,
261,34,1656535496,1,5,False,1,active,0,2,1,0,261,,
262,11,1656535085,1,11,False,1,active,1,2,1,0,262,,
264,25,1656535046,1,3,False,1,active,0,1,1,0,264,,
265,29,1656535533,1,5,False,1,active,0,1,1,0,265,,
266,4,1656535470,1,26,False,1,active,0,0,1,0,266,,
267,9,1656535407,1,67,False,1,active,0,1,1,0,267,,
268,17,1656535403,1,8,False,1,active,0,2,1,0,268,,
270,7,1656535580,1,20,False,1,active,2,1,1,0,270,,
275,0,1656534153,1,16,False,1,active,0,2,1,0,275,,
278,14,1656535583,1,2,False,1,active,2,2,1,0,278,,
281,27,1656535478,1,66,False,1,active,2,3,1,0,281,,
284,33,1656535545,1,10,False,1,active,0,8,1,0,284,,
285,41,1656535485,1,32,False,1,active,0,5,1,0,285,,
289,12,1656535532,1,7,False,1,active,0,0,1,0,289,,
291,6,1656534622,1,14,False,1,active,1,0,1,0,291,,
293,76,1656535537,1,10,False,1,active,0,5,1,0,293,,
294,44,1656535580,1,13,False,1,active,4,4,1,0,294,,
295,17,1656535492,1,6,False,1,active,0,1,1,0,295,,
297,8,1656535271,1,63,False,1,active,0,4,1,0,297,,
298,31,1656535566,1,1,False,1,active,0,2,1,0,298,,
301,0,1656535485,1,54,False,1,active,0,3,1,0,301,,
302,0,86400,1,0,False,1,active,0,0,1,0,302,,
303,57,1656535288,1,5,False,1,active,1,3,1,0,303,,
304,39,1656535489,1,8,False,1,active,1,0,1,0,304,,
305,20,1656535592,1,25,False,1,active,1,4,1,0,305,,
307,24,1656535532,1,4,False,1,active,1,3,1,0,307,,
308,43,1656535422,1,4,False,1,active,1,1,1,0,308,,
311,29,1656535400,1,28,False,1,active,0,2,1,0,311,,
312,17,1656535581,1,12,False,1,active,0,4,1,0,312,,
313,47,1656535048,1,5,False,1,active,0,3,1,0,313,,
315,27,1656534761,1,0,False,1,active,0,2,1,0,315,,
316,29,1656535412,1,11,False,1,active,0,2,1,0,316,,
317,14,1656535579,1,51,False,1,active,0,1,1,1,317,,
319,15,1656535465,1,0,False,1,active,0,3,1,20,319,"{'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_capacity': 70, 'region': 'BKN', 'valet_revision': 11087, 'off_dock_count': 56, 'active': True, 'dock_blocked_count': 20}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,41,1656535377,1,8,False,1,active,0,3,1,0,320,,
