station_id,num_docks_disabled,num_docks_available,num_ebikes_available,eightd_has_available_keys,is_renting,last_reported,is_installed,num_bikes_available,num_bikes_disabled,station_status,is_returning,legacy_id,valet,eightd_active_station_services
72,0,55,0,False,0,1656077952,0,0,0,out_of_service,0,72,,
79,0,20,1,False,1,1656546270,1,11,2,active,1,79,,
82,0,0,0,False,1,1656545458,1,25,2,active,1,82,,
83,0,19,0,False,1,1656546002,1,38,5,active,1,83,,
116,0,0,0,False,0,86400,0,0,0,out_of_service,0,116,,
119,0,0,0,False,1,1656546617,1,49,3,active,1,119,,
120,0,12,0,False,1,1656546477,1,4,2,active,1,120,,
127,0,0,0,False,1,1656546449,1,27,3,active,1,127,,
128,0,7,0,False,1,1656546671,1,46,3,active,1,128,,
143,0,1,1,False,1,1656546579,1,46,3,active,1,143,,
144,0,1,0,False,1,1656546488,1,56,1,active,1,144,,
146,0,0,1,False,1,1656546564,1,51,4,active,1,146,,
150,0,44,1,False,1,1656546665,1,11,1,active,1,150,,
151,0,17,0,False,1,1656546718,1,9,6,active,1,151,,
152,0,9,1,False,1,1656546647,1,38,2,active,1,152,,
153,0,61,0,False,1,1656545582,1,0,2,active,1,153,,
157,0,1,2,False,1,1656546569,1,20,2,active,1,157,,
161,0,1,0,False,1,1656546703,1,30,4,active,1,161,,
164,0,73,0,False,1,1656546700,1,0,4,active,1,164,,
168,0,42,0,False,1,1656546720,1,0,5,active,1,168,,
174,0,34,0,False,1,1656546578,1,0,1,active,1,174,,
212,0,0,0,False,1,1656546498,1,54,6,active,1,212,,
216,0,2,0,False,1,1656546442,1,33,2,active,1,216,,
217,1,0,0,False,1,1656546444,1,2,34,active,1,217,,
223,27,0,0,False,1,1656546602,1,0,6,active,1,223,,
224,0,12,0,False,1,1656546299,1,22,0,active,1,224,,
228,0,65,0,False,1,1656545373,1,0,12,active,1,228,,
229,0,0,1,False,1,1656546599,1,19,3,active,1,229,,
232,0,2,2,False,1,1656546596,1,46,2,active,1,232,,
236,0,5,0,False,1,1656546684,1,43,3,active,1,236,,
238,0,1,1,False,1,1656546708,1,26,4,active,1,238,,
239,1,9,0,False,1,1656546477,1,49,2,active,1,239,,
241,0,5,2,False,1,1656546669,1,17,1,active,1,241,,
242,0,0,0,False,0,86400,0,0,0,out_of_service,0,242,,
244,0,37,1,False,1,1656546625,1,12,2,active,1,244,,
245,0,0,1,False,1,1656545945,1,52,4,active,1,245,,
247,0,0,0,False,1,1656546622,1,53,4,active,1,247,,
248,0,15,0,False,1,1656546436,1,72,4,active,1,248,,
249,0,8,0,False,1,1656546557,1,18,1,active,1,249,,
250,0,18,0,False,1,1656546710,1,17,5,active,1,250,,
251,0,8,0,False,1,1656546504,1,15,2,active,1,251,,
252,0,17,0,False,1,1656546662,1,10,4,active,1,252,,
254,0,14,1,False,1,1656546734,1,31,2,active,1,254,,
257,0,42,1,False,1,1656546475,1,25,3,active,1,257,,
258,0,11,1,False,1,1656546497,1,6,6,active,1,258,,
259,0,17,0,False,1,1656546708,1,14,8,active,1,259,,
260,0,27,0,False,1,1656546348,1,4,1,active,1,260,,
261,0,0,1,False,1,1656546204,1,38,3,active,1,261,,
262,0,3,2,False,1,1656546384,1,17,4,active,1,262,,
264,0,10,0,False,1,1656546289,1,18,1,active,1,264,,
265,0,1,0,False,1,1656546428,1,31,2,active,1,265,,
266,0,16,0,False,1,1656546630,1,13,1,active,1,266,,
267,0,77,0,False,1,1656546470,1,0,1,active,1,267,,
268,0,22,0,False,1,1656546687,1,1,4,active,1,268,,
270,0,18,1,False,1,1656546724,1,9,1,active,1,270,,
275,0,4,0,False,1,1656546540,1,11,3,active,1,275,,
278,0,8,1,False,1,1656546743,1,10,1,active,1,278,,
281,0,96,0,False,1,1656546726,1,0,0,active,1,281,,
284,0,6,1,False,1,1656546746,1,42,3,active,1,284,,
285,0,57,1,False,1,1656546724,1,18,3,active,1,285,,
289,0,17,0,False,1,1656546489,1,2,0,active,1,289,,
291,0,6,0,False,1,1656546740,1,14,0,active,1,291,,
293,0,29,0,False,1,1656546681,1,56,6,active,1,293,,
294,0,10,1,False,1,1656546680,1,48,5,active,1,294,,
295,0,0,3,False,1,1656546092,1,21,3,active,1,295,,
297,0,59,1,False,1,1656546726,1,11,5,active,1,297,,
298,0,1,0,False,1,1656546623,1,31,2,active,1,298,,
301,0,35,2,False,1,1656546681,1,18,3,active,1,301,,
302,0,1,3,False,1,1656546738,1,35,0,active,1,302,,
303,0,1,0,False,1,1656546483,1,60,4,active,1,303,,
304,0,33,1,False,1,1656546627,1,13,0,active,1,304,,
305,0,44,0,False,1,1656546731,1,0,4,active,1,305,,
307,0,0,1,False,1,1656546657,1,27,4,active,1,307,,
308,0,2,0,False,1,1656546575,1,44,2,active,1,308,,
311,0,17,0,False,1,1656546681,1,37,4,active,1,311,,
312,0,1,0,False,1,1656546641,1,29,2,active,1,312,,
313,0,8,0,False,1,1656546678,1,44,3,active,1,313,,
315,0,2,0,False,1,1656546743,1,22,4,active,1,315,,
316,0,15,0,False,1,1656546420,1,24,2,active,1,316,,
317,1,39,0,False,1,1656546743,1,26,1,active,1,317,,
