station_id,is_installed,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,legacy_id,is_returning,last_reported,num_docks_available,is_renting,num_docks_disabled,eightd_has_available_keys,eightd_active_station_services,valet
72,0,out_of_service,0,0,0,72,0,1656077952,55,0,0,False,,
79,1,active,2,11,1,79,1,1656541812,20,1,0,False,,
82,1,active,1,24,0,82,1,1656541856,2,1,0,False,,
83,1,active,3,39,0,83,1,1656541634,20,1,0,False,,
116,0,out_of_service,0,0,0,116,0,86400,0,0,0,False,,
119,1,active,3,50,0,119,1,1656539777,0,1,0,False,,
120,1,active,0,7,0,120,1,1656541657,11,1,0,False,,
127,1,active,2,14,2,127,1,1656541742,15,1,0,False,,
128,1,active,1,47,2,128,1,1656541887,8,1,0,False,,
143,1,active,2,47,2,143,1,1656541774,1,1,0,False,,
144,1,active,1,56,0,144,1,1656541870,1,1,0,False,,
146,1,active,4,47,0,146,1,1656541358,4,1,0,False,,
150,1,active,2,9,1,150,1,1656541776,45,1,0,False,,
151,1,active,6,21,0,151,1,1656541884,6,1,0,False,,
152,1,active,2,37,0,152,1,1656541741,10,1,0,False,,
153,1,active,2,4,0,153,1,1656541866,57,1,0,False,,
157,1,active,2,21,1,157,1,1656541755,0,1,0,False,,
161,1,active,4,25,0,161,1,1656541833,6,1,0,False,,
164,1,active,4,14,0,164,1,1656541867,59,1,0,False,,
168,1,active,7,19,0,168,1,1656541882,21,1,0,False,,
174,1,active,1,3,0,174,1,1656541866,31,1,0,False,,
212,1,active,4,31,0,212,1,1656541638,25,1,0,False,,
216,1,active,2,31,0,216,1,1656541883,4,1,0,False,,
217,1,active,27,10,1,217,1,1656541857,0,1,0,False,,
223,1,active,6,0,0,223,1,1656541582,0,1,27,False,,
224,1,active,0,16,0,224,1,1656541861,18,1,0,False,,
228,1,active,10,10,0,228,1,1656541866,58,1,0,False,,
229,1,active,3,18,1,229,1,1656541841,1,1,0,False,,
232,1,active,1,43,0,232,1,1656541875,6,1,0,False,,
236,1,active,2,29,0,236,1,1656541564,20,1,0,False,,
238,1,active,6,12,0,238,1,1656541581,13,1,0,False,,
239,1,active,1,59,0,239,1,1656541871,0,1,1,False,,
241,1,active,2,17,0,241,1,1656541743,4,1,0,False,,
242,0,out_of_service,0,0,0,242,0,86400,0,0,0,False,,
244,1,active,1,8,0,244,1,1656541868,42,1,0,False,,
245,1,active,3,53,2,245,1,1656541425,0,1,0,False,,
247,1,active,5,52,0,247,1,1656541872,1,1,0,False,,
248,1,active,3,76,0,248,1,1656540794,12,1,0,False,,
249,1,active,2,21,1,249,1,1656541888,4,1,0,False,,
250,1,active,3,30,0,250,1,1656541859,7,1,0,False,,
251,1,active,3,13,0,251,1,1656541830,9,1,0,False,,
252,1,active,4,7,1,252,1,1656541728,21,1,0,False,,
254,1,active,2,18,1,254,1,1656541826,27,1,0,False,,
257,1,active,3,32,0,257,1,1656541742,35,1,0,False,,
258,1,active,6,5,2,258,1,1656541819,12,1,0,False,,
259,1,active,8,10,1,259,1,1656541796,21,1,0,False,,
260,1,active,1,9,0,260,1,1656541526,22,1,0,False,,
261,1,active,3,36,0,261,1,1656540455,2,1,0,False,,
262,1,active,4,18,1,262,1,1656541535,2,1,0,False,,
264,1,active,1,26,0,264,1,1656541743,2,1,0,False,,
265,1,active,2,32,0,265,1,1656541675,0,1,0,False,,
266,1,active,1,8,1,266,1,1656541661,21,1,0,False,,
267,1,active,1,2,0,267,1,1656541449,75,1,0,False,,
268,1,active,4,8,0,268,1,1656541757,15,1,0,False,,
270,1,active,1,7,1,270,1,1656541788,20,1,0,False,,
275,1,active,2,3,0,275,1,1656541468,13,1,0,False,,
278,1,active,2,10,0,278,1,1656541839,6,1,0,False,,
281,1,active,0,1,0,281,1,1656541852,95,1,0,False,,
284,1,active,5,31,1,284,1,1656541866,15,1,0,False,,
285,1,active,4,31,0,285,1,1656541887,43,1,0,False,,
289,1,active,0,8,1,289,1,1656541005,11,1,0,False,,
291,1,active,0,10,1,291,1,1656541783,10,1,0,False,,
293,1,active,4,73,1,293,1,1656541884,14,1,0,False,,
294,1,active,4,51,0,294,1,1656541887,7,1,0,False,,
295,1,active,1,23,1,295,1,1656540562,0,1,0,False,,
297,1,active,4,2,0,297,1,1656541833,69,1,0,False,,
298,1,active,2,31,1,298,1,1656541735,1,1,0,False,,
301,1,active,2,8,2,301,1,1656541886,48,1,0,False,,
302,1,active,1,32,4,302,1,1656541829,3,1,0,False,,
303,1,active,3,56,0,303,1,1656541834,6,1,0,False,,
304,1,active,0,15,0,304,1,1656541461,32,1,0,False,,
305,1,active,5,2,0,305,1,1656541867,42,1,0,False,,
307,1,active,3,26,0,307,1,1656541873,2,1,0,False,,
308,1,active,1,45,0,308,1,1656541139,2,1,0,False,,
311,1,active,4,35,0,311,1,1656541862,20,1,0,False,,
312,1,active,2,29,0,312,1,1656541617,1,1,0,False,,
313,1,active,3,47,0,313,1,1656541476,5,1,0,False,,
315,1,active,4,15,0,315,1,1656541798,9,1,0,False,,
316,1,active,2,30,0,316,1,1656541842,9,1,0,False,,
317,1,active,1,12,0,317,1,1656541860,53,1,1,False,,
319,1,active,3,26,0,319,1,1656541887,0,1,20,False,[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}],"{'valet_revision': 11131, 'active': True, 'off_dock_capacity': 70, 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_count': 10, 'region': 'BKN', 'dock_blocked_count': 20}"
320,1,active,3,33,0,320,1,1656541456,17,1,0,False,,
321,1,active,1,34,0,321,1,1656541819,2,1,0,False,,
323,1,active,3,29,0,323,1,1656541811,7,1,0,False,,
324,1,active,2,71,1,324,1,1656541693,1,1,0,False,,
325,1,active,5,28,1,325,0,1656538900,2,0,0,False,,
326,1,active,6,16,0,326,1,1656541730,19,1,0,False,,
327,1,active,2,5,0,327,1,1656541846,32,1,0,False,,
328,1,active,3,23,0,328,1,1656541804,9,1,0,False,,
330,1,active,6,21,0,330,1,1656541859,15,1,0,False,,
331,1,active,1,26,0,331,1,1656539987,0,1,0,False,,
332,1,active,2,18,4,332,1,1656541594,15,1,0,False,,
334,1,active,3,18,2,334,1,1656541855,22,1,0,False,,
335,1,active,1,12,0,335,1,1656541822,13,1,0,False,,
336,1,active,3,36,0,336,1,1656541862,18,1,0,False,,
339,1,active,2,11,0,339,1,1656541366,28,1,0,False,,
340,1,active,0,18,0,340,1,1656541741,9,1,0,False,,
341,1,active,0,18,2,341,1,1656541874,1,1,0,False,,
342,1,active,1,17,0,342,1,1656541852,11,1,0,False,,
343,1,active,1,14,0,343,1,1656541858,8,1,0,False,,
344,1,active,1,9,0,344,1,1656541809,13,1,0,False,,
346,1,active,0,10,0,346,1,1656541805,17,1,0,False,,
347,1,active,7,8,0,347,1,1656541888,38,1,0,False,,
349,1,active,0,33,0,349,1,1656541861,27,1,0,False,,
350,1,active,3,13,1,350,1,1656541866,31,1,0,False,,
352,1,active,1,0,0,352,1,1656541423,35,1,0,False,,
353,1,active,0,16,1,353,1,1656541602,11,1,0,False,,
354,1,active,3,47,0,354,1,1656541879,13,1,0,False,,
355,1,active,0,33,0,355,1,1656541831,10,1,0,False,,
356,1,active,1,13,0,356,1,1656541821,9,1,0,False,,
358,1,active,2,48,1,358,1,1656541877,0,1,0,False,,
359,1,active,1,0,0,359,1,1656541887,78,1,0,False,,
360,1,active,3,7,0,360,1,1656541609,28,1,0,False,,
361,1,active,2,76,1,361,1,1656541574,1,1,0,False,,
362,1,active,1,3,0,362,1,1656541689,51,1,0,False,,
363,1,active,2,46,0,363,1,1656541789,25,1,0,False,,
364,1,active,1,14,0,364,1,1656541841,12,1,0,False,,
366,1,active,1,6,1,366,1,1656541824,26,1,0,False,,
367,1,active,1,0,0,367,1,1656541804,56,1,0,False,,
368,1,active,3,17,0,368,1,1656541747,27,1,0,False,,
369,1,active,1,26,0,369,1,1656541733,49,1,0,False,,
372,1,active,3,15,0,372,1,1656541744,9,1,0,False,,
373,1,active,0,16,0,373,1,1656540978,3,1,0,False,,
376,1,active,4,25,2,376,1,1656541716,12,1,0,False,,
377,1,active,3,26,0,377,1,1656541784,20,1,0,False,,
379,1,active,1,42,0,379,1,1656541872,10,1,0,False,,
380,1,active,5,32,1,380,1,1656541833,3,1,0,False,,
383,1,active,2,31,1,383,1,1656541771,5,1,0,False,,
385,1,active,1,9,0,385,1,1656541850,19,1,0,False,,
386,1,active,1,29,0,386,1,1656541875,50,1,0,False,,
387,1,active,4,23,0,387,1,1656541873,12,1,0,False,,
388,1,active,4,2,0,388,1,1656541868,28,1,0,False,,
389,1,active,1,26,8,389,1,1656541816,0,1,0,False,,
390,1,active,3,37,0,390,1,1656541371,8,1,0,False,,
391,1,active,2,22,0,391,1,1656541621,18,1,0,False,,
392,1,active,1,24,0,392,1,1656541663,9,1,0,False,,
393,1,active,0,8,0,393,1,1656541723,29,1,0,False,,
394,1,active,2,3,0,394,1,1656541856,28,1,1,False,,
396,1,active,1,16,0,396,1,1656541818,8,1,0,False,,
397,1,active,6,3,0,397,1,1656541762,66,1,0,False,,
398,1,active,3,31,0,398,1,1656541881,2,1,0,False,,
399,1,active,3,5,1,399,1,1656541477,31,1,0,False,,
400,1,active,0,11,1,400,1,1656541522,4,1,0,False,,
401,1,active,2,24,1,401,1,1656541884,16,1,0,False,,
403,1,active,2,55,2,403,1,1656541771,0,1,0,False,,
405,1,active,4,12,0,405,1,1656541820,35,1,0,False,,
406,1,active,0,12,1,406,1,1656541569,8,1,0,False,,
408,1,active,2,32,0,408,1,1656541888,11,1,0,False,,
410,1,active,3,37,1,410,1,1656541841,39,1,0,False,,
411,1,active,1,19,7,411,1,1656541807,10,1,0,False,,
412,1,active,3,22,1,412,1,1656541784,3,1,0,False,,
415,1,active,1,12,0,415,1,1656541661,33,1,0,False,,
416,1,active,3,11,0,416,1,1656541865,17,1,0,False,,
417,1,active,0,20,1,417,1,1656541609,5,1,0,False,,
418,1,active,0,36,3,418,0,1656528957,1,0,0,False,,
419,0,out_of_service,0,0,0,419,0,86400,0,0,0,False,,
420,1,active,1,12,1,420,1,1656541818,38,1,0,False,,
421,1,active,0,17,0,421,1,1656540971,2,1,0,False,,
422,1,active,2,9,2,422,1,1656541847,102,1,0,False,,
423,1,active,0,3,1,423,1,1656541848,41,1,0,False,,
426,1,active,4,63,2,426,1,1656541865,14,1,0,False,,
427,1,active,5,23,2,427,1,1656541831,19,1,0,False,,
428,1,active,3,12,2,428,1,1656541824,26,1,0,False,,
432,1,active,2,13,0,432,1,1656541884,16,1,0,False,,
434,1,active,8,34,1,434,1,1656541879,18,1,0,False,,
435,1,active,3,31,0,435,1,1656541882,14,1,0,False,,
436,1,active,1,18,1,436,1,1656541873,8,1,0,False,,
437,1,active,1,16,0,437,1,1656541592,6,1,0,False,,
438,1,active,3,19,0,438,1,1656541875,23,1,1,False,,
439,1,active,5,38,1,439,1,1656541881,0,1,0,False,,
440,1,active,2,1,0,440,1,1656541682,29,1,0,False,,
442,1,active,1,10,0,442,1,1656541827,40,1,0,False,,
443,1,active,4,7,0,443,1,1656539346,12,1,0,False,,
445,1,active,2,21,0,445,1,1656541854,84,1,0,False,,
446,0,out_of_service,0,0,0,446,0,86400,0,0,0,False,,
447,1,active,2,8,0,447,1,1656541825,20,1,0,False,,
448,1,active,2,2,0,448,1,1656541869,23,1,0,False,,
450,1,active,1,3,0,450,1,1656541870,63,1,0,False,,
453,1,active,4,18,1,453,1,1656541833,44,1,0,False,,
454,1,active,4,3,0,454,1,1656541859,28,1,0,False,,
455,1,active,4,0,0,455,1,1656541835,55,1,0,False,,
456,1,active,3,1,0,456,1,1656541851,47,1,0,False,,
457,1,active,5,5,1,457,1,1656541882,68,1,0,False,,
458,1,active,2,3,0,458,1,1656541816,25,1,0,False,,
460,1,active,5,18,1,460,1,1656541747,1,1,0,False,,
461,1,active,2,17,0,461,1,1656541812,37,1,0,False,,
462,1,active,8,53,3,462,1,1656541878,13,1,0,False,,
464,1,active,2,10,1,464,1,1656541872,67,1,0,False,,
465,1,active,4,2,1,465,1,1656541878,33,1,0,False,,
466,1,active,1,8,0,466,1,1656541876,25,1,0,False,,
468,1,active,4,0,0,468,1,1656541663,75,1,0,False,,
469,1,active,1,1,1,469,1,1656541886,84,1,0,False,,
470,1,active,0,18,1,470,1,1656541887,66,1,0,False,,
471,1,active,3,27,1,471,1,1656541849,1,1,0,False,,
472,1,active,4,3,0,472,1,1656541856,48,1,0,False,,
473,1,active,5,57,0,473,1,1656541874,1,1,0,False,,
474,1,active,7,16,2,474,1,1656541832,18,1,0,False,,
476,1,active,1,3,0,476,1,1656541844,58,1,0,False,,
477,1,active,2,68,38,477,0,1656541861,1,0,0,False,,
478,1,active,5,13,0,478,1,1656541886,18,1,0,False,,
479,1,active,3,22,3,479,1,1656541822,6,1,0,False,,
480,1,active,2,11,1,480,1,1656541842,16,1,0,False,,
481,1,active,4,21,5,481,1,1656541732,0,1,0,False,,
482,1,active,3,23,0,482,1,1656541877,51,1,0,False,,
483,1,active,0,7,0,483,1,1656541639,29,1,0,False,,
484,1,active,5,2,0,484,1,1656541817,38,1,1,False,,
485,1,active,2,1,0,485,1,1656541739,37,1,0,False,,
486,1,active,0,0,0,486,1,86400,0,1,0,False,,
488,1,active,1,21,1,488,1,1656541752,22,1,0,False,,
489,1,active,3,11,0,489,1,1656541784,34,1,0,False,,
490,1,active,2,7,0,490,1,1656541877,57,1,0,False,[{'id': '66dc686c-0aca-11e7-82f6-3863bb44ef7c'}],"{'valet_revision': 12148, 'active': True, 'off_dock_capacity': 120, 'station_id': '66dc686c-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_count': 39, 'region': 'BKN', 'dock_blocked_count': 0}"
