station_id,num_docks_disabled,is_returning,station_status,eightd_has_available_keys,is_installed,last_reported,num_docks_available,num_ebikes_available,num_bikes_available,is_renting,legacy_id,num_bikes_disabled,valet,eightd_active_station_services
3814,0,1,active,False,1,1656534772,10,0,22,1,3814,0,,
3815,0,1,active,False,1,1656534765,24,0,16,1,3815,1,,
3816,0,1,active,False,1,1656512860,0,0,24,1,3816,0,,
3817,0,1,active,False,1,1656530272,4,0,14,1,3817,0,,
3818,0,1,active,False,1,1656534585,20,0,20,1,3818,0,,
3819,0,1,active,False,1,1656533748,1,0,18,1,3819,1,,
3820,0,1,active,False,1,1656534654,17,1,2,1,3820,0,,
3821,0,1,active,False,1,1656534406,11,0,14,1,3821,0,,
3822,0,1,active,False,1,1656532638,7,0,13,1,3822,0,,
3823,0,1,active,False,1,1656533879,5,0,25,1,3823,0,,
3824,0,1,active,False,1,1656534284,14,0,5,1,3824,2,,
3825,0,1,active,False,1,1656530576,28,0,1,1,3825,0,,
3826,0,1,active,False,1,1656533225,12,0,6,1,3826,0,,
3827,0,1,active,False,1,1656534168,18,1,1,1,3827,1,,
3828,0,1,active,False,1,1656527121,21,0,1,1,3828,0,,
3829,0,1,active,False,1,1656533645,15,0,8,1,3829,0,,
3830,0,1,active,False,1,1656532431,16,0,6,1,3830,0,,
3831,0,1,active,False,1,1656532575,31,0,4,1,3831,0,,
3832,0,1,active,False,1,1656534557,8,0,13,1,3832,0,,
3833,0,1,active,False,1,1656533499,16,0,1,1,3833,1,,
3834,0,1,active,False,1,1656533820,18,0,1,1,3834,0,,
3835,0,0,out_of_service,False,0,86400,0,0,0,0,3835,0,,
3836,0,1,active,False,1,1656529232,28,0,0,1,3836,1,,
3837,0,1,active,False,1,1656531821,29,0,0,1,3837,0,,
3838,0,1,active,False,1,1656534755,23,1,1,1,3838,1,,
3839,0,1,active,False,1,1656532038,28,0,1,1,3839,0,,
3840,0,1,active,False,1,1656534716,22,0,1,1,3840,1,,
3841,0,1,active,False,1,1656534297,14,0,10,1,3841,1,,
3842,0,1,active,False,1,1656529204,27,0,0,1,3842,2,,
3843,0,1,active,False,1,1656530937,17,0,6,1,3843,0,,
3844,0,1,active,False,1,1656533754,9,0,15,1,3844,0,,
3845,0,1,active,False,1,1656534336,12,0,7,1,3845,2,,
3846,0,1,active,False,1,1656533875,23,0,2,1,3846,0,,
3847,0,1,active,False,1,1656534608,22,0,2,1,3847,1,,
3848,0,1,active,False,1,1656534540,18,0,14,1,3848,0,,
3849,0,1,active,False,1,1656534266,4,0,12,1,3849,1,,
3850,0,1,active,False,1,1656533592,3,0,22,1,3850,0,,
3851,0,1,active,False,1,1656512676,0,12,19,1,3851,0,,
3852,0,1,active,False,1,1656534700,4,0,12,1,3852,1,,
3853,0,1,active,False,1,1656533833,6,0,14,1,3853,0,,
3854,0,1,active,False,1,1656534705,0,0,24,1,3854,1,,
3855,0,1,active,False,1,1656531080,3,0,19,1,3855,0,,
3856,0,1,active,False,1,1656534086,10,1,12,1,3856,3,,
3857,0,1,active,False,1,1656532573,8,1,11,1,3857,0,,
3858,0,1,active,False,1,1656534388,4,1,15,1,3858,1,,
3860,0,1,active,False,1,1656534164,15,0,10,1,3860,1,,
3861,0,1,active,False,1,1656534279,18,1,1,1,3861,1,,
3862,0,1,active,False,1,1656534719,17,1,1,1,3862,0,,
3863,0,1,active,False,1,1656534726,16,1,2,1,3863,0,,
3864,0,1,active,False,1,1656534013,21,0,9,1,3864,0,,
3865,0,1,active,False,1,1656534022,16,2,6,1,3865,2,,
3866,0,1,active,False,1,1656533070,28,0,4,1,3866,0,,
3867,0,1,active,False,1,1656532750,25,1,4,1,3867,0,,
3868,0,1,active,False,1,1656534676,19,0,0,1,3868,0,,
3869,0,1,active,False,1,1656533768,23,0,0,1,3869,1,,
3870,0,1,active,False,1,1656534699,11,0,9,1,3870,0,,
3871,0,1,active,False,1,1656533879,24,1,4,1,3871,1,,
3872,0,1,active,False,1,1656514164,19,0,0,1,3872,0,,
3873,0,1,active,False,1,1656533087,4,0,13,1,3873,0,,
3874,0,1,active,False,1,1656532524,16,0,0,1,3874,0,,
3875,0,1,active,False,1,1656533644,10,0,5,1,3875,0,,
3876,0,1,active,False,1,1656531630,13,0,9,1,3876,1,,
3877,0,1,active,False,1,1656534325,22,0,2,1,3877,1,,
3878,0,1,active,False,1,1656534785,12,0,7,1,3878,0,,
3879,0,1,active,False,1,1656534564,22,0,3,1,3879,0,,
3880,0,1,active,False,1,1656534134,25,1,1,1,3880,1,,
3881,0,1,active,False,1,1656534264,18,2,20,1,3881,1,,
3882,0,1,active,False,1,1656532875,7,0,7,1,3882,1,,
3883,0,1,active,False,1,1656522646,18,0,0,1,3883,1,,
3884,0,1,active,False,1,1656525965,23,0,0,1,3884,0,,
3885,0,1,active,False,1,1656527930,19,0,0,1,3885,0,,
3886,0,1,active,False,1,1656532203,20,0,0,1,3886,0,,
3887,0,1,active,False,1,1656533388,8,0,13,1,3887,0,,
3888,0,1,active,False,1,1656531055,17,0,1,1,3888,1,,
3890,0,1,active,False,1,1656534699,27,0,2,1,3890,2,,
3891,0,1,active,False,1,1656532523,7,0,13,1,3891,0,,
3892,1,1,active,False,1,1656534681,11,0,6,1,3892,0,,
3893,0,1,active,False,1,1656533415,21,0,2,1,3893,2,,
3894,0,1,active,False,1,1656534631,16,1,18,1,3894,2,,
3895,0,1,active,False,1,1656533165,22,0,3,1,3895,0,,
3896,0,1,active,False,1,1656533473,19,0,2,1,3896,0,,
3897,0,1,active,False,1,1656534341,15,2,2,1,3897,0,,
3898,0,1,active,False,1,1656534786,46,1,10,1,3898,1,,
3899,0,1,active,False,1,1656534368,1,0,16,1,3899,1,,
3900,0,1,active,False,1,1656534499,5,2,25,1,3900,0,,
3901,0,1,active,False,1,1656534158,12,1,5,1,3901,0,,
3902,0,1,active,False,1,1656533658,18,0,0,1,3902,1,,
3903,0,1,active,False,1,1656534316,12,0,2,1,3903,2,,
3904,9,1,active,False,1,1656534604,0,1,1,1,3904,25,,
3905,0,1,active,False,1,1656534759,2,0,22,1,3905,2,,
3906,0,1,active,False,1,1656534664,15,0,8,1,3906,7,,
3907,0,1,active,False,1,1656534284,12,0,5,1,3907,0,,
3909,0,1,active,False,1,1656532158,19,1,1,1,3909,0,,
3910,0,1,active,False,1,1656530913,16,0,1,1,3910,0,,
3911,0,1,active,False,1,1656532426,0,0,22,1,3911,0,,
3913,0,1,active,False,1,1656533522,2,0,17,1,3913,0,,
3914,0,1,active,False,1,1656534533,38,0,0,1,3914,1,,
3916,0,1,active,False,1,1656534032,1,0,44,1,3916,0,,
3917,0,1,active,False,1,1656534724,2,0,28,1,3917,1,,
3920,0,1,active,False,1,1656534779,16,0,2,1,3920,1,,
3921,0,1,active,False,1,1656534688,15,1,3,1,3921,1,,
3922,0,1,active,False,1,1656534731,0,0,2,1,3922,17,,
3923,0,1,active,False,1,1656534722,10,1,7,1,3923,0,,
3924,0,1,active,False,1,1656534765,22,0,3,1,3924,1,,
3926,0,1,active,False,1,1656534501,16,2,4,1,3926,0,,
3927,0,1,active,False,1,1656534507,23,1,1,1,3927,3,,
3928,0,1,active,False,1,1656534016,13,0,2,1,3928,8,,
3929,0,1,active,False,1,1656533734,14,0,4,1,3929,1,,
3930,0,1,active,False,1,1656534790,11,1,7,1,3930,1,,
3931,0,1,active,False,1,1656532469,18,0,5,1,3931,0,,
3932,0,1,active,False,1,1656533545,21,0,0,1,3932,2,,
3933,0,1,active,False,1,1656534309,10,0,8,1,3933,1,,
3934,0,1,active,False,1,1656534694,7,2,19,1,3934,1,,
3935,1,1,active,False,1,1656534496,16,0,1,1,3935,1,,
3936,0,1,active,False,1,1656534766,16,0,3,1,3936,0,,
3937,0,1,active,False,1,1656529354,22,0,0,1,3937,1,,
3938,0,1,active,False,1,1656524990,11,0,7,1,3938,1,,
3939,0,1,active,False,1,1656533884,8,1,13,1,3939,0,,
3940,0,1,active,False,1,1656512705,10,0,5,1,3940,1,,
3941,0,1,active,False,1,1656534018,7,1,10,1,3941,0,,
3942,0,1,active,False,1,1656534679,17,0,1,1,3942,3,,
3944,0,1,active,False,1,1656534650,28,1,1,1,3944,1,,
3945,0,1,active,False,1,1656533095,17,2,2,1,3945,2,,
3946,0,1,active,False,1,1656533677,19,0,1,1,3946,1,,
3947,0,1,active,False,1,1656530079,15,0,3,1,3947,0,,
3948,0,1,active,False,1,1656533449,21,0,1,1,3948,1,,
3949,0,1,active,False,1,1656534696,3,0,19,1,3949,1,,
3950,0,1,active,False,1,1656529112,13,0,5,1,3950,1,,
3951,0,1,active,False,1,1656534221,12,1,7,1,3951,0,,
3952,0,1,active,False,1,1656528263,16,0,3,1,3952,0,,
3953,0,1,active,False,1,1656533809,21,1,3,1,3953,1,,
3955,0,1,active,False,1,1656523437,11,0,7,1,3955,0,,
3956,0,1,active,False,1,1656525377,20,0,3,1,3956,0,,
3957,0,1,active,False,1,1656530343,14,0,4,1,3957,1,,
3958,0,1,active,False,1,1656530998,21,0,2,1,3958,0,,
3959,0,1,active,False,1,1656533074,29,0,0,1,3959,2,,
3960,0,1,active,False,1,1656533607,20,1,1,1,3960,0,,
3961,0,1,active,False,1,1656532524,11,0,8,1,3961,0,,
3963,0,1,active,False,1,1656534736,23,1,6,1,3963,1,,
3964,0,1,active,False,1,1656533455,17,0,3,1,3964,0,,
3965,0,1,active,False,1,1656531532,13,0,6,1,3965,0,,
3966,0,1,active,False,1,1656532069,15,0,4,1,3966,0,,
3967,29,1,active,False,1,1656534551,0,0,0,1,3967,1,,
3968,0,1,active,False,1,1656531880,9,0,10,1,3968,1,,
3969,0,1,active,False,1,1656534638,14,0,4,1,3969,0,,
3970,0,1,active,False,1,1656534214,18,0,0,1,3970,1,,
3972,0,1,active,False,1,1656532865,19,0,3,1,3972,1,,
3973,0,1,active,False,1,1656530577,25,0,0,1,3973,1,,
3975,0,1,active,False,1,1656534744,17,1,4,1,3975,0,,
3976,0,1,active,False,1,1656532735,11,0,6,1,3976,2,,
3977,0,1,active,False,1,1656528800,29,0,0,1,3977,0,,
3978,0,1,active,False,1,1656532305,17,0,0,1,3978,1,,
3980,0,1,active,False,1,1656534769,19,1,1,1,3980,0,,
3981,0,1,active,False,1,1656534328,22,0,2,1,3981,0,,
3982,0,1,active,False,1,1656533398,17,1,1,1,3982,3,,
3983,0,1,active,False,1,1656534592,11,2,11,1,3983,1,,
3984,0,1,active,False,1,1656532956,18,1,3,1,3984,1,,
3985,0,1,active,False,1,1656534489,20,0,2,1,3985,0,,
3986,0,1,active,False,1,1656533636,15,0,17,1,3986,2,,
3987,0,1,active,False,1,1656534216,20,0,1,1,3987,2,,
3988,0,1,active,False,1,1656529139,12,0,7,1,3988,0,,
3989,0,1,active,False,1,1656534686,15,3,5,1,3989,1,,
3994,0,1,active,False,1,1656534722,13,1,12,1,3994,3,,
3995,0,1,active,False,1,1656533705,18,0,1,1,3995,2,,
3996,0,1,active,False,1,1656528444,18,0,6,1,3996,0,,
3997,0,1,active,False,1,1656534653,17,0,3,1,3997,0,,
3998,0,1,active,False,1,1656533381,29,0,0,1,3998,0,,
3999,0,1,active,False,1,1656534705,11,0,10,1,3999,1,,
4000,0,1,active,False,1,1656534556,15,1,6,1,4000,1,,
4001,0,1,active,False,1,1656534202,21,0,1,1,4001,1,,
4002,0,1,active,False,1,1656534361,20,0,4,1,4002,0,,
4004,0,1,active,False,1,1656534394,19,0,1,1,4004,0,,
4005,0,1,active,False,1,1656532040,24,0,0,1,4005,0,,
4006,0,1,active,False,1,1656534239,11,0,13,1,4006,1,,
4007,0,1,active,False,1,1656534137,28,0,1,1,4007,1,,
4008,0,1,active,False,1,1656532895,20,1,2,1,4008,1,,
