station_id,num_bikes_available,last_reported,is_renting,num_docks_available,eightd_has_available_keys,is_returning,station_status,num_ebikes_available,num_bikes_disabled,is_installed,num_docks_disabled,legacy_id,valet,eightd_active_station_services
72,0,1656077952,0,55,False,0,out_of_service,0,0,0,0,72,,
79,10,1656531725,1,21,False,1,active,0,2,1,0,79,,
82,24,1656531349,1,2,False,1,active,1,1,1,0,82,,
83,28,1656531420,1,31,False,1,active,2,3,1,0,83,,
116,0,86400,0,0,False,0,out_of_service,0,0,0,0,116,,
119,51,1656525828,1,0,False,1,active,0,2,1,0,119,,
120,6,1656531425,1,12,False,1,active,0,0,1,0,120,,
127,19,1656531458,1,9,False,1,active,0,3,1,0,127,,
128,43,1656531588,1,11,False,1,active,0,2,1,0,128,,
143,47,1656530513,1,2,False,1,active,0,1,1,0,143,,
144,55,1656529437,1,2,False,1,active,0,1,1,0,144,,
146,38,1656531472,1,13,False,1,active,2,3,1,0,146,,
150,3,1656531704,1,52,False,1,active,0,1,1,0,150,,
151,20,1656531724,1,6,False,1,active,2,6,1,0,151,,
152,47,1656530755,1,0,False,1,active,1,2,1,0,152,,
153,32,1656531100,1,29,False,1,active,1,2,1,0,153,,
157,20,1656531566,1,2,False,1,active,0,1,1,0,157,,
161,27,1656531722,1,7,False,1,active,2,1,1,0,161,,
164,61,1656531574,1,12,False,1,active,4,4,1,0,164,,
168,37,1656531598,1,7,False,1,active,0,3,1,0,168,,
174,16,1656531528,1,18,False,1,active,0,1,1,0,174,,
212,50,1656531358,1,5,False,1,active,0,5,1,0,212,,
216,20,1656531696,1,16,False,1,active,2,1,1,0,216,,
217,2,1656531589,1,0,False,1,active,2,36,1,0,217,,
223,0,1656531504,1,0,False,1,active,0,6,1,27,223,,
224,20,1656531229,1,8,False,1,active,0,5,1,0,224,,
228,0,86400,0,0,False,0,active,0,0,1,0,228,,
229,17,1656531556,1,3,False,1,active,1,1,1,0,229,,
232,49,1656530722,1,1,False,1,active,1,1,1,0,232,,
236,27,1656531456,1,23,False,1,active,0,1,1,0,236,,
238,12,1656531181,1,17,False,1,active,3,2,1,0,238,,
239,58,1656531453,1,3,False,1,active,0,0,1,1,239,,
241,19,1656530793,1,4,False,1,active,0,0,1,0,241,,
242,0,86400,0,0,False,0,out_of_service,0,0,0,0,242,,
244,13,1656531494,1,37,False,1,active,0,1,1,0,244,,
245,51,1656531357,1,3,False,1,active,3,2,1,0,245,,
247,51,1656531561,1,1,False,1,active,2,6,1,0,247,,
248,75,1656531453,1,13,False,1,active,0,3,1,0,248,,
249,24,1656531363,1,3,False,1,active,0,0,1,0,249,,
250,27,1656531712,1,10,False,1,active,3,3,1,0,250,,
251,20,1656531721,1,2,False,1,active,3,3,1,0,251,,
