station_id,num_docks_disabled,station_status,eightd_has_available_keys,is_installed,legacy_id,num_ebikes_available,num_docks_available,last_reported,num_bikes_disabled,is_renting,is_returning,num_bikes_available,eightd_active_station_services,valet
3798,0,active,False,1,3798,0,49,1656545572,6,1,1,0,,
3799,0,active,False,1,3799,0,63,1656545977,4,1,1,0,,
3803,0,active,False,1,3803,1,19,1656545985,2,1,1,5,,
3804,0,active,False,1,3804,0,1,1656545945,0,1,1,23,,
3808,0,active,False,1,3808,0,15,1656543699,4,1,1,0,,
3809,0,active,False,1,3809,0,45,1656546069,4,1,1,2,,
3811,0,active,False,1,3811,0,4,1656544917,2,1,1,13,,
3812,0,active,False,1,3812,0,28,1656546088,4,1,1,29,,
3813,1,active,False,1,3813,0,5,1656546114,3,1,1,40,,
3814,0,active,False,1,3814,0,32,1656545999,0,1,1,0,,
3815,0,active,False,1,3815,0,39,1656545741,2,1,1,0,,
3816,0,active,False,1,3816,1,1,1656544797,0,1,1,23,,
3817,0,active,False,1,3817,0,0,1656544533,2,1,1,16,,
3818,0,active,False,1,3818,0,37,1656545618,1,1,1,2,,
3819,0,active,False,1,3819,0,3,1656542663,0,1,1,17,,
3820,0,active,False,1,3820,1,15,1656545645,0,1,1,4,,
3821,0,active,False,1,3821,1,12,1656546056,0,1,1,12,,
3822,0,active,False,1,3822,0,5,1656543909,2,1,1,13,,
3823,0,active,False,1,3823,1,8,1656545158,0,1,1,22,,
3824,0,active,False,1,3824,0,16,1656545696,2,1,1,3,,
3825,0,active,False,1,3825,2,25,1656541975,0,1,1,4,,
3826,0,active,False,1,3826,1,16,1656545752,0,1,1,2,,
3827,0,active,False,1,3827,3,14,1656546020,2,1,1,4,,
3828,0,active,False,1,3828,2,20,1656544585,0,1,1,2,,
3829,0,active,False,1,3829,0,14,1656543745,0,1,1,8,,
3830,0,active,False,1,3830,1,12,1656545913,0,1,1,10,,
3831,0,active,False,1,3831,0,32,1656541978,1,1,1,2,,
3832,0,active,False,1,3832,0,8,1656544454,0,1,1,13,,
3833,0,active,False,1,3833,0,18,1656542336,0,1,1,0,,
3834,0,active,False,1,3834,0,19,1656546079,0,1,1,0,,
3835,0,out_of_service,False,0,3835,0,0,86400,0,0,0,0,,
3836,0,active,False,1,3836,0,28,1656544540,1,1,1,0,,
3837,0,active,False,1,3837,2,26,1656545959,0,1,1,3,,
3838,0,active,False,1,3838,2,21,1656545992,2,1,1,2,,
3839,0,active,False,1,3839,0,28,1656545839,0,1,1,1,,
3840,0,active,False,1,3840,0,23,1656544603,1,1,1,0,,
3841,0,active,False,1,3841,1,11,1656543693,1,1,1,13,,
3842,0,active,False,1,3842,0,24,1656545757,3,1,1,2,,
3843,0,active,False,1,3843,0,16,1656543615,0,1,1,7,,
3844,0,active,False,1,3844,0,4,1656545765,0,1,1,20,,
3845,0,active,False,1,3845,1,4,1656545978,2,1,1,15,,
3846,0,active,False,1,3846,0,24,1656544895,0,1,1,1,,
3847,0,active,False,1,3847,0,23,1656544242,1,1,1,1,,
3848,0,active,False,1,3848,1,18,1656545964,0,1,1,14,,
3849,0,active,False,1,3849,1,3,1656544405,0,1,1,14,,
3850,0,active,False,1,3850,0,2,1656545209,0,1,1,23,,
3851,0,active,False,1,3851,9,5,1656540087,0,1,1,15,,
3852,0,active,False,1,3852,2,4,1656546044,1,1,1,12,,
3853,0,active,False,1,3853,1,7,1656545340,0,1,1,13,,
3854,0,active,False,1,3854,4,1,1656545543,1,1,1,23,,
3855,0,active,False,1,3855,0,1,1656545817,1,1,1,20,,
3856,0,active,False,1,3856,2,2,1656545886,4,1,1,19,,
3857,0,active,False,1,3857,0,1,1656546049,0,1,1,17,,
3858,0,active,False,1,3858,0,3,1656545993,1,1,1,16,,
3860,0,active,False,1,3860,0,15,1656545740,2,1,1,9,,
3861,0,active,False,1,3861,1,18,1656545072,1,1,1,1,,
3862,0,active,False,1,3862,2,16,1656545013,0,1,1,2,,
3863,0,active,False,1,3863,0,16,1656544708,0,1,1,2,,
3864,0,active,False,1,3864,0,23,1656544945,0,1,1,7,,
3865,0,active,False,1,3865,1,17,1656544606,3,1,1,4,,
3866,0,active,False,1,3866,0,29,1656545619,0,1,1,3,,
3867,0,active,False,1,3867,0,25,1656546108,0,1,1,4,,
3868,0,active,False,1,3868,0,17,1656545750,2,1,1,0,,
3869,0,active,False,1,3869,0,22,1656545390,1,1,1,1,,
3870,0,active,False,1,3870,2,7,1656546062,1,1,1,12,,
3871,0,active,False,1,3871,0,27,1656544081,1,1,1,1,,
3872,0,active,False,1,3872,0,15,1656546006,1,1,1,3,,
3873,0,active,False,1,3873,0,8,1656545895,0,1,1,9,,
3874,0,active,False,1,3874,0,16,1656539657,0,1,1,0,,
3875,0,active,False,1,3875,0,9,1656545135,0,1,1,6,,
3876,0,active,False,1,3876,0,15,1656545135,0,1,1,7,,
3877,0,active,False,1,3877,0,23,1656545924,1,1,1,1,,
3878,0,active,False,1,3878,0,14,1656545383,0,1,1,5,,
3879,0,active,False,1,3879,0,21,1656546042,1,1,1,3,,
3880,0,active,False,1,3880,1,25,1656545259,1,1,1,1,,
3881,0,active,False,1,3881,1,16,1656546125,3,1,1,19,,
3882,0,active,False,1,3882,0,7,1656545978,1,1,1,7,,
3883,0,active,False,1,3883,2,17,1656545247,0,1,1,2,,
3884,0,active,False,1,3884,1,22,1656544289,0,1,1,1,,
3885,0,active,False,1,3885,0,17,1656545341,1,1,1,1,,
3886,0,active,False,1,3886,0,20,1656543832,0,1,1,0,,
3887,0,active,False,1,3887,0,7,1656546058,0,1,1,14,,
3888,0,active,False,1,3888,0,18,1656542341,1,1,1,0,,
3890,0,active,False,1,3890,3,18,1656546084,2,1,1,11,,
3891,0,active,False,1,3891,0,8,1656546027,1,1,1,11,,
3892,1,active,False,1,3892,0,14,1656546121,0,1,1,4,,
3893,0,active,False,1,3893,0,21,1656545245,2,1,1,2,,
3894,0,active,False,1,3894,1,30,1656546095,3,1,1,3,,
3895,0,active,False,1,3895,0,20,1656545540,0,1,1,4,,
3896,0,active,False,1,3896,1,21,1656546077,0,1,1,1,,
3897,0,active,False,1,3897,2,13,1656543723,0,1,1,4,,
3898,0,active,False,1,3898,0,56,1656545601,1,1,1,0,,
3899,0,active,False,1,3899,0,0,1656545754,2,1,1,16,,
3900,0,active,False,1,3900,2,8,1656545774,2,1,1,20,,
3901,0,active,False,1,3901,1,14,1656545632,0,1,1,3,,
3902,0,active,False,1,3902,2,15,1656546105,1,1,1,3,,
3903,0,active,False,1,3903,1,15,1656545999,0,1,1,2,,
3904,9,active,False,1,3904,1,0,1656546121,24,1,1,2,,
3905,0,active,False,1,3905,0,1,1656546040,0,1,1,26,,
3906,0,active,False,1,3906,0,19,1656545993,2,1,1,10,,
3907,0,active,False,1,3907,1,10,1656544471,1,1,1,6,,
3909,0,active,False,1,3909,3,15,1656545487,0,1,1,4,,
3910,0,active,False,1,3910,2,11,1656546070,1,1,1,5,,
3911,0,active,False,1,3911,0,2,1656545092,0,1,1,20,,
