station_id,is_returning,legacy_id,num_ebikes_available,eightd_has_available_keys,station_status,num_docks_disabled,num_bikes_disabled,num_docks_available,is_installed,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services
72,0,72,0,False,out_of_service,0,0,55,0,1656077952,0,0,,
79,1,79,1,False,active,0,2,21,1,1656538928,10,1,,
82,1,82,0,False,active,0,1,5,1,1656538967,21,1,,
83,1,83,1,False,active,0,3,16,1,1656538934,43,1,,
116,0,116,0,False,out_of_service,0,0,0,0,86400,0,0,,
119,1,119,1,False,active,0,1,2,1,1656538509,50,1,,
120,1,120,2,False,active,0,0,12,1,1656538950,6,1,,
127,1,127,0,False,active,0,2,20,1,1656538786,9,1,,
128,1,128,0,False,active,0,1,14,1,1656539047,40,1,,
143,1,143,0,False,active,0,2,5,1,1656539014,43,1,,
144,1,144,0,False,active,0,1,2,1,1656538854,55,1,,
146,1,146,0,False,active,0,4,5,1,1656538846,46,1,,
150,1,150,3,False,active,0,2,46,1,1656538607,8,1,,
151,1,151,2,False,active,0,6,6,1,1656539031,21,1,,
152,1,152,0,False,active,0,2,12,1,1656538556,35,1,,
153,1,153,0,False,active,0,2,40,1,1656539025,21,1,,
157,1,157,1,False,active,0,1,0,1,1656539009,22,1,,
161,1,161,0,False,active,0,3,6,1,1656538710,26,1,,
164,1,164,0,False,active,0,4,35,1,1656538924,38,1,,
168,1,168,1,False,active,0,6,14,1,1656539046,27,1,,
174,1,174,0,False,active,0,1,32,1,1656538865,2,1,,
212,1,212,0,False,active,0,5,16,1,1656538714,39,1,,
216,1,216,1,False,active,0,2,7,1,1656538736,28,1,,
217,1,217,2,False,active,0,35,0,1,1656538744,3,1,,
223,1,223,0,False,active,27,6,0,1,1656538892,0,1,,
224,1,224,0,False,active,0,0,12,1,1656538890,22,1,,
228,1,228,4,False,active,0,3,50,1,1656538988,27,1,,
229,1,229,1,False,active,0,2,4,1,1656539009,15,1,,
232,1,232,1,False,active,0,1,4,1,1656539026,45,1,,
236,1,236,0,False,active,0,2,25,1,1656538959,24,1,,
238,1,238,1,False,active,0,5,18,1,1656538970,8,1,,
239,1,239,0,False,active,1,1,2,1,1656538961,57,1,,
241,1,241,0,False,active,0,0,1,1,1656539026,22,1,,
242,0,242,0,False,out_of_service,0,0,0,0,86400,0,0,,
244,1,244,2,False,active,0,1,40,1,1656539017,10,1,,
245,1,245,0,False,active,0,3,4,1,1656538474,49,1,,
247,1,247,3,False,active,0,6,5,1,1656538987,47,1,,
248,1,248,1,False,active,0,3,12,1,1656539016,76,1,,
249,1,249,0,False,active,0,0,9,1,1656538783,18,1,,
250,1,250,2,False,active,0,4,0,1,1656538987,36,1,,
251,1,251,1,False,active,0,4,4,1,1656538966,17,1,,
252,1,252,0,False,active,0,3,22,1,1656538491,7,1,,
254,1,254,0,False,active,0,1,37,1,1656538971,9,1,,
257,1,257,0,False,active,0,2,36,1,1656538886,32,1,,
258,1,258,1,False,active,0,4,12,1,1656538892,7,1,,
259,1,259,0,False,active,0,8,17,1,1656538986,14,1,,
260,1,260,0,False,active,0,1,26,1,1656538920,5,1,,
261,1,261,1,False,active,0,3,2,1,1656538410,36,1,,
262,1,262,1,False,active,0,5,7,1,1656538998,12,1,,
264,1,264,0,False,active,0,1,8,1,1656538905,20,1,,
265,1,265,1,False,active,0,2,1,1,1656538853,32,1,,
266,1,266,0,False,active,0,1,20,1,1656538916,9,1,,
267,1,267,2,False,active,0,1,68,1,1656539044,9,1,,
268,1,268,0,False,active,0,3,17,1,1656538597,7,1,,
270,1,270,0,False,active,0,1,17,1,1656538649,10,1,,
275,1,275,0,False,active,0,2,15,1,1656537714,1,1,,
278,1,278,0,False,active,0,2,7,1,1656538482,9,1,,
281,1,281,0,False,active,0,5,91,1,1656538352,0,1,,
284,1,284,1,False,active,0,8,20,1,1656539046,23,1,,
285,1,285,0,False,active,0,5,36,1,1656539047,37,1,,
289,1,289,0,False,active,0,0,11,1,1656539005,8,1,,
291,1,291,0,False,active,0,0,15,1,1656538892,5,1,,
293,1,293,0,False,active,0,4,21,1,1656539006,66,1,,
294,1,294,0,False,active,0,3,20,1,1656538987,39,1,,
295,1,295,0,False,active,0,0,7,1,1656538971,17,1,,
297,1,297,0,False,active,0,6,65,1,1656539031,4,1,,
298,1,298,0,False,active,0,2,3,1,1656538705,29,1,,
301,1,301,3,False,active,0,2,48,1,1656539016,8,1,,
302,1,302,0,False,active,0,0,0,1,86400,0,1,,
303,1,303,1,False,active,0,3,3,1,1656539036,59,1,,
304,1,304,0,False,active,0,0,22,1,1656539022,25,1,,
305,1,305,0,False,active,0,4,45,1,1656538940,0,1,,
307,1,307,0,False,active,0,3,9,1,1656538807,19,1,,
308,1,308,0,False,active,0,1,5,1,1656538976,42,1,,
311,1,311,0,False,active,0,2,22,1,1656538609,35,1,,
312,1,312,2,False,active,0,2,6,1,1656539026,24,1,,
313,1,313,0,False,active,0,3,4,1,1656538961,48,1,,
315,1,315,0,False,active,0,3,1,1,1656538879,25,1,,
316,1,316,0,False,active,0,2,7,1,1656538940,32,1,,
317,1,317,0,False,active,1,0,58,1,1656538994,8,1,,
319,1,319,0,False,active,20,3,0,1,1656539015,18,1,"{'dock_blocked_count': 20, 'active': True, 'off_dock_count': 36, 'region': 'BKN', 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'valet_revision': 11107, 'off_dock_capacity': 70}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,1,320,2,False,active,0,2,7,1,1656539037,44,1,,
321,1,321,1,False,active,0,0,1,1,1656538723,36,1,,
323,1,323,0,False,active,0,3,11,1,1656538852,25,1,,
324,1,324,0,False,active,0,2,3,1,1656538832,69,1,,
325,0,325,1,False,active,0,5,2,1,1656538900,28,0,,
326,1,326,0,False,active,0,3,31,1,1656539022,7,1,,
327,1,327,0,False,active,0,3,35,1,1656538978,1,1,,
328,1,328,0,False,active,0,3,10,1,1656538962,22,1,,
330,1,330,0,False,active,0,4,14,1,1656538981,24,1,,
331,1,331,0,False,active,0,2,3,1,1656538997,22,1,,
332,1,332,0,False,active,0,2,32,1,1656538969,1,1,,
334,1,334,0,False,active,0,3,23,1,1656538982,18,1,,
335,1,335,1,False,active,0,2,14,1,1656539003,10,1,,
336,1,336,0,False,active,0,1,22,1,1656539002,34,1,,
339,1,339,0,False,active,0,2,29,1,1656536797,10,1,,
340,1,340,1,False,active,0,0,13,1,1656538860,14,1,,
341,1,341,0,False,active,0,0,10,1,1656538160,9,1,,
342,1,342,0,False,active,0,1,15,1,1656538863,13,1,,
343,1,343,0,False,active,0,1,3,1,1656538340,19,1,,
344,1,344,1,False,active,0,1,14,1,1656538741,8,1,,
346,1,346,0,False,active,0,0,23,1,1656538858,4,1,,
347,1,347,0,False,active,0,7,34,1,1656538813,12,1,,
349,1,349,1,False,active,0,0,25,1,1656538926,35,1,,
350,1,350,5,False,active,0,3,26,1,1656539009,18,1,,
352,1,352,0,False,active,0,1,29,1,1656538957,6,1,,
353,1,353,0,False,active,0,0,13,1,1656538445,14,1,,
354,1,354,1,False,active,0,3,16,1,1656538759,44,1,,
355,1,355,1,False,active,0,0,9,1,1656539012,34,1,,
356,1,356,3,False,active,0,1,6,1,1656538725,16,1,,
358,1,358,1,False,active,0,4,5,1,1656539039,41,1,,
359,1,359,0,False,active,0,1,77,1,1656539036,1,1,,
360,1,360,0,False,active,0,3,25,1,1656538901,10,1,,
361,1,361,1,False,active,0,2,0,1,1656538971,77,1,,
362,1,362,0,False,active,0,0,48,1,1656539039,7,1,,
363,1,363,2,False,active,0,1,15,1,1656538927,57,1,,
364,1,364,0,False,active,0,1,6,1,1656539033,20,1,,
366,1,366,1,False,active,0,1,26,1,1656538960,6,1,,
367,1,367,0,False,active,0,1,41,1,1656538952,15,1,,
368,1,368,7,False,active,0,2,20,1,1656539045,25,1,,
369,1,369,0,False,active,0,1,51,1,1656539042,24,1,,
372,1,372,0,False,active,0,3,5,1,1656538773,19,1,,
373,1,373,1,False,active,0,0,2,1,1656538891,17,1,,
376,1,376,0,False,active,0,4,14,1,1656538914,23,1,,
377,1,377,0,False,active,0,3,20,1,1656538770,26,1,,
379,1,379,4,False,active,0,0,2,1,1656539018,51,1,,
380,1,380,3,False,active,0,5,9,1,1656539038,26,1,,
383,1,383,1,False,active,0,3,14,1,1656538971,21,1,,
385,1,385,0,False,active,0,1,27,1,1656538936,1,1,,
386,1,386,0,False,active,0,2,26,1,1656538740,52,1,,
387,1,387,0,False,active,0,3,11,1,1656539031,25,1,,
388,1,388,0,False,active,0,4,30,1,1656538947,0,1,,
389,1,389,2,False,active,0,1,16,1,1656538830,10,1,,
390,1,390,1,False,active,0,2,3,1,1656538931,43,1,,
391,1,391,1,False,active,0,1,16,1,1656539000,25,1,,
392,1,392,1,False,active,0,1,3,1,1656538843,30,1,,
393,1,393,2,False,active,0,0,28,1,1656538954,9,1,,
394,1,394,0,False,active,1,1,28,1,1656538959,4,1,,
396,1,396,0,False,active,0,1,16,1,1656538218,8,1,,
397,1,397,1,False,active,0,6,66,1,1656539027,3,1,,
398,1,398,1,False,active,0,3,4,1,1656538900,29,1,,
399,1,399,1,False,active,0,2,34,1,1656538628,2,1,,
