station_id,num_bikes_disabled,num_docks_disabled,legacy_id,is_installed,num_ebikes_available,is_renting,num_bikes_available,num_docks_available,last_reported,is_returning,eightd_has_available_keys,station_status,valet,eightd_active_station_services
72,0,0,72,0,0,0,0,55,1656077952,0,False,out_of_service,,
79,2,0,79,1,0,1,12,19,1656530188,1,False,active,,
82,1,0,82,1,2,1,26,0,1656530289,1,False,active,,
83,3,0,83,1,1,1,27,32,1656530327,1,False,active,,
116,0,0,116,0,0,0,0,0,86400,0,False,out_of_service,,
119,2,0,119,1,0,1,51,0,1656525828,1,False,active,,
120,0,0,120,1,0,1,5,14,1656530305,1,False,active,,
127,3,0,127,1,1,1,15,13,1656530057,1,False,active,,
128,2,0,128,1,0,1,44,10,1656530338,1,False,active,,
143,1,0,143,1,0,1,49,0,1656528641,1,False,active,,
144,1,0,144,1,0,1,55,2,1656529437,1,False,active,,
146,3,0,146,1,3,1,39,13,1656530037,1,False,active,,
150,1,0,150,1,0,1,4,51,1656530262,1,False,active,,
151,7,0,151,1,0,1,16,10,1656530451,1,False,active,,
152,2,0,152,1,1,1,46,1,1656530415,1,False,active,,
153,1,0,153,1,1,1,32,30,1656530243,1,False,active,,
157,1,0,157,1,2,1,19,3,1656530230,1,False,active,,
161,1,0,161,1,3,1,30,4,1656530041,1,False,active,,
164,4,0,164,1,2,1,58,15,1656530005,1,False,active,,
168,3,0,168,1,2,1,40,4,1656530367,1,False,active,,
174,1,0,174,1,0,1,19,15,1656529917,1,False,active,,
212,5,0,212,1,1,1,53,2,1656530297,1,False,active,,
216,1,0,216,1,4,1,23,13,1656530406,1,False,active,,
217,36,0,217,1,2,1,2,0,1656530260,1,False,active,,
223,6,27,223,1,0,1,0,0,1656530155,1,False,active,,
224,5,0,224,1,0,1,27,1,1656530170,1,False,active,,
228,0,0,228,1,0,0,0,0,86400,0,False,active,,
229,1,0,229,1,1,1,15,5,1656530364,1,False,active,,
232,1,0,232,1,1,1,48,2,1656530448,1,False,active,,
236,1,0,236,1,0,1,24,26,1656530145,1,False,active,,
238,2,0,238,1,3,1,12,17,1656530185,1,False,active,,
239,0,1,239,1,0,1,60,1,1656530132,1,False,active,,
241,0,0,241,1,0,1,19,4,1656529957,1,False,active,,
242,0,0,242,0,0,0,0,0,86400,0,False,out_of_service,,
244,1,0,244,1,1,1,14,36,1656529891,1,False,active,,
245,2,0,245,1,1,1,51,3,1656530420,1,False,active,,
247,58,0,247,1,0,1,0,0,1656530221,1,False,active,,
248,4,0,248,1,1,1,77,10,1656528167,1,False,active,,
249,0,0,249,1,0,1,25,2,1656530304,1,False,active,,
250,2,0,250,1,0,1,24,14,1656530354,1,False,active,,
251,3,0,251,1,2,1,16,6,1656529883,1,False,active,,
252,2,0,252,1,3,1,7,23,1656530414,1,False,active,,
254,3,0,254,1,0,1,6,38,1656530237,1,False,active,,
257,2,0,257,1,1,1,34,34,1656529459,1,False,active,,
258,3,0,258,1,1,1,7,13,1656530356,1,False,active,,
259,6,0,259,1,0,1,29,3,1656529611,1,False,active,,
260,4,0,260,1,2,1,26,2,1656530270,1,False,active,,
261,3,0,261,1,0,1,36,2,1656530425,1,False,active,,
262,3,0,262,1,0,1,3,18,1656530262,1,False,active,,
264,1,0,264,1,0,1,27,1,1656529926,1,False,active,,
265,0,0,265,1,1,1,26,9,1656530441,1,False,active,,
266,0,0,266,1,1,1,4,26,1656530351,1,False,active,,
267,1,0,267,1,3,1,7,69,1656530354,1,False,active,,
268,1,0,268,1,2,1,21,5,1656530101,1,False,active,,
270,1,0,270,1,0,1,5,22,1656529646,1,False,active,,
275,1,0,275,1,1,1,6,12,1656529813,1,False,active,,
278,2,0,278,1,0,1,10,7,1656529579,1,False,active,,
281,2,0,281,1,2,1,42,52,1656530405,1,False,active,,
284,6,0,284,1,0,1,24,21,1656530330,1,False,active,,
285,5,0,285,1,1,1,52,20,1656530366,1,False,active,,
289,1,0,289,1,0,1,10,8,1656529721,1,False,active,,
291,0,0,291,1,0,1,6,13,1656530369,1,False,active,,
293,4,0,293,1,0,1,72,15,1656530414,1,False,active,,
294,5,0,294,1,3,1,47,9,1656530428,1,False,active,,
295,0,0,295,1,0,1,22,2,1656530179,1,False,active,,
297,3,0,297,1,0,1,12,60,1656530406,1,False,active,,
298,3,0,298,1,0,1,30,2,1656530438,1,False,active,,
301,2,0,301,1,0,1,3,52,1656530125,1,False,active,,
302,0,0,302,1,0,1,0,0,86400,1,False,active,,
303,4,0,303,1,0,1,60,2,1656530394,1,False,active,,
304,2,0,304,1,4,1,45,0,1656529258,1,False,active,,
305,5,0,305,1,1,1,39,0,1656530251,1,False,active,,
307,3,0,307,1,1,1,28,0,1656530436,1,False,active,,
308,1,0,308,1,1,1,43,4,1656530407,1,False,active,,
311,6,0,311,1,2,1,30,23,1656530184,1,False,active,,
312,7,0,312,1,2,1,15,11,1656530279,1,False,active,,
313,2,0,313,1,0,1,53,0,1656530211,1,False,active,,
315,2,0,315,1,0,1,18,8,1656530422,1,False,active,,
316,2,0,316,1,4,1,41,0,1656530155,1,False,active,,
317,1,1,317,1,0,1,14,51,1656530224,1,False,active,,
319,2,20,319,1,2,1,12,0,1656530418,1,False,active,"{'valet_revision': 11071, 'region': 'BKN', 'off_dock_count': 62, 'off_dock_capacity': 70, 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'dock_blocked_count': 20, 'active': False}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,2,0,320,1,2,1,46,5,1656530281,1,False,active,,
321,0,0,321,1,0,1,35,3,1656529270,1,False,active,,
323,5,0,323,1,0,1,32,2,1656530375,1,False,active,,
324,1,0,324,1,0,1,73,0,1656529874,1,False,active,,
325,5,0,325,1,1,0,28,2,1656529700,0,False,active,,
326,3,0,326,1,0,1,4,34,1656530395,1,False,active,,
327,3,0,327,1,3,1,27,9,1656530368,1,False,active,,
328,2,0,328,1,1,1,23,10,1656530219,1,False,active,,
330,6,0,330,1,1,1,36,0,1656530365,1,False,active,,
331,1,0,331,1,0,1,20,5,1656529918,1,False,active,,
332,1,0,332,1,0,1,0,35,1656529343,1,False,active,,
334,2,0,334,1,2,1,11,31,1656530406,1,False,active,,
335,1,0,335,1,1,1,22,3,1656530450,1,False,active,,
336,3,0,336,1,0,1,31,23,1656530398,1,False,active,,
339,2,0,339,1,0,1,10,29,1656528578,1,False,active,,
340,0,0,340,1,0,1,14,13,1656530442,1,False,active,,
341,0,0,341,1,0,1,9,10,1656530405,1,False,active,,
342,1,0,342,1,0,1,7,21,1656530189,1,False,active,,
343,2,0,343,1,1,1,20,1,1656530063,1,False,active,,
344,2,0,344,1,0,1,3,18,1656528592,1,False,active,,
346,0,0,346,1,2,1,2,25,1656529464,1,False,active,,
347,3,0,347,1,1,1,26,25,1656530434,1,False,active,,
349,0,0,349,1,1,1,21,40,1656530374,1,False,active,,
350,5,0,350,1,0,1,6,35,1656530424,1,False,active,,
352,1,0,352,1,1,1,27,8,1656530103,1,False,active,,
353,2,0,353,1,0,1,16,9,1656529701,1,False,active,,
