station_id,num_bikes_disabled,legacy_id,is_installed,eightd_has_available_keys,last_reported,is_renting,num_docks_disabled,station_status,is_returning,num_bikes_available,num_ebikes_available,num_docks_available,valet,eightd_active_station_services
72,0,72,0,False,1656077952,0,0,out_of_service,0,0,0,55,,
79,2,79,1,False,1656542435,1,0,active,1,11,1,20,,
82,2,82,1,False,1656542372,1,0,active,1,25,1,0,,
83,3,83,1,False,1656542594,1,0,active,1,41,0,18,,
116,0,116,0,False,86400,0,0,out_of_service,0,0,0,0,,
119,3,119,1,False,1656539777,1,0,active,1,50,0,0,,
120,1,120,1,False,1656542524,1,0,active,1,7,0,10,,
127,2,127,1,False,1656542585,1,0,active,1,13,1,16,,
128,1,128,1,False,1656542573,1,0,active,1,47,1,8,,
143,3,143,1,False,1656541938,1,0,active,1,45,1,2,,
144,1,144,1,False,1656542544,1,0,active,1,56,0,1,,
146,4,146,1,False,1656542553,1,0,active,1,47,1,4,,
150,2,150,1,False,1656542583,1,0,active,1,11,0,43,,
151,6,151,1,False,1656542521,1,0,active,1,21,1,6,,
152,2,152,1,False,1656542390,1,0,active,1,36,0,11,,
153,2,153,1,False,1656542595,1,0,active,1,0,0,61,,
157,2,157,1,False,1656542541,1,0,active,1,19,0,2,,
161,4,161,1,False,1656542570,1,0,active,1,29,1,2,,
164,4,164,1,False,1656542570,1,0,active,1,9,0,64,,
168,7,168,1,False,1656542586,1,0,active,1,14,0,26,,
174,1,174,1,False,1656542421,1,0,active,1,3,1,31,,
212,4,212,1,False,1656542610,1,0,active,1,45,3,11,,
216,2,216,1,False,1656542586,1,0,active,1,27,0,8,,
217,35,217,1,False,1656542431,1,0,active,1,2,1,0,,
223,6,223,1,False,1656542590,1,27,active,1,0,0,0,,
224,1,224,1,False,1656542533,1,0,active,1,16,0,17,,
228,12,228,1,False,1656542457,1,0,active,1,0,0,65,,
229,3,229,1,False,1656542425,1,0,active,1,19,0,0,,
232,1,232,1,False,1656542490,1,0,active,1,44,0,5,,
236,2,236,1,False,1656542579,1,0,active,1,34,0,15,,
238,6,238,1,False,1656542289,1,0,active,1,14,1,11,,
239,1,239,1,False,1656542604,1,1,active,1,54,0,5,,
