station_id,num_bikes_disabled,num_docks_disabled,legacy_id,is_installed,num_ebikes_available,is_renting,num_bikes_available,num_docks_available,last_reported,is_returning,eightd_has_available_keys,station_status,valet,eightd_active_station_services
72,0,0,72,0,0,0,0,55,1656077952,0,False,out_of_service,,
79,2,0,79,1,1,1,12,19,1656533032,1,False,active,,
82,1,0,82,1,0,1,25,1,1656533269,1,False,active,,
83,3,0,83,1,0,1,27,32,1656533006,1,False,active,,
116,0,0,116,0,0,0,0,0,86400,0,False,out_of_service,,
119,2,0,119,1,0,1,51,0,1656525828,1,False,active,,
120,0,0,120,1,0,1,6,12,1656532966,1,False,active,,
127,2,0,127,1,0,1,18,11,1656532870,1,False,active,,
128,2,0,128,1,4,1,46,8,1656533320,1,False,active,,
143,1,0,143,1,0,1,48,1,1656532197,1,False,active,,
144,1,0,144,1,0,1,57,0,1656533366,1,False,active,,
146,3,0,146,1,3,1,43,8,1656533325,1,False,active,,
150,1,0,150,1,0,1,1,54,1656533366,1,False,active,,
151,7,0,151,1,1,1,22,3,1656533372,1,False,active,,
152,2,0,152,1,2,1,46,1,1656533196,1,False,active,,
153,2,0,153,1,0,1,28,33,1656533380,1,False,active,,
157,1,0,157,1,1,1,20,2,1656533157,1,False,active,,
161,2,0,161,1,1,1,25,8,1656532952,1,False,active,,
164,4,0,164,1,2,1,61,12,1656533327,1,False,active,,
168,5,0,168,1,0,1,36,6,1656533229,1,False,active,,
174,1,0,174,1,0,1,17,17,1656533187,1,False,active,,
212,5,0,212,1,1,1,52,3,1656533251,1,False,active,,
216,1,0,216,1,1,1,22,14,1656533106,1,False,active,,
217,35,0,217,1,2,1,3,0,1656533351,1,False,active,,
223,6,27,223,1,0,1,0,0,1656533186,1,False,active,,
224,5,0,224,1,0,1,19,9,1656532938,1,False,active,,
228,0,0,228,1,0,0,0,0,86400,0,False,active,,
229,2,0,229,1,1,1,15,4,1656533361,1,False,active,,
232,1,0,232,1,0,1,48,1,1656532238,1,False,active,,
236,1,0,236,1,1,1,24,25,1656533383,1,False,active,,
238,2,0,238,1,0,1,9,20,1656532991,1,False,active,,
239,0,1,239,1,0,1,58,3,1656533316,1,False,active,,
241,0,0,241,1,0,1,22,1,1656533058,1,False,active,,
242,0,0,242,0,0,0,0,0,86400,0,False,out_of_service,,
244,1,0,244,1,0,1,11,39,1656532877,1,False,active,,
245,3,0,245,1,1,1,48,5,1656533366,1,False,active,,
247,6,0,247,1,2,1,51,1,1656533252,1,False,active,,
248,3,0,248,1,0,1,74,14,1656532220,1,False,active,,
249,0,0,249,1,0,1,27,0,1656533177,1,False,active,,
250,3,0,250,1,2,1,27,9,1656533348,1,False,active,,
251,1,0,251,1,4,1,22,2,1656533284,1,False,active,,
252,4,0,252,1,1,1,7,21,1656533302,1,False,active,,
254,1,0,254,1,1,1,5,41,1656532904,1,False,active,,
257,2,0,257,1,0,1,34,34,1656533330,1,False,active,,
258,3,0,258,1,0,1,5,15,1656532969,1,False,active,,
259,7,0,259,1,2,1,29,3,1656533299,1,False,active,,
260,4,0,260,1,0,1,22,6,1656532356,1,False,active,,
261,3,0,261,1,0,1,38,0,1656532780,1,False,active,,
262,3,0,262,1,0,1,9,12,1656533343,1,False,active,,
264,1,0,264,1,0,1,25,3,1656532077,1,False,active,,
265,0,0,265,1,2,1,29,6,1656533271,1,False,active,,
266,0,0,266,1,1,1,3,27,1656532812,1,False,active,,
267,1,0,267,1,0,1,7,69,1656533088,1,False,active,,
268,2,0,268,1,0,1,21,4,1656533329,1,False,active,,
270,1,0,270,1,1,1,4,23,1656533185,1,False,active,,
275,2,0,275,1,0,1,1,15,1656533274,1,False,active,,
278,2,0,278,1,0,1,12,5,1656532724,1,False,active,,
281,3,0,281,1,0,1,34,59,1656533385,1,False,active,,
284,7,0,284,1,0,1,24,20,1656533356,1,False,active,,
285,3,0,285,1,2,1,48,26,1656533384,1,False,active,,
289,1,0,289,1,0,1,10,8,1656529721,1,False,active,,
291,0,0,291,1,0,1,5,15,1656532062,1,False,active,,
293,5,0,293,1,1,1,78,8,1656533303,1,False,active,,
294,5,0,294,1,3,1,42,14,1656533315,1,False,active,,
295,0,0,295,1,1,1,19,5,1656533171,1,False,active,,
297,3,0,297,1,0,1,12,60,1656533230,1,False,active,,
298,2,0,298,1,0,1,31,1,1656533152,1,False,active,,
301,3,0,301,1,0,1,4,49,1656533351,1,False,active,,
302,0,0,302,1,0,1,0,0,86400,1,False,active,,
303,3,0,303,1,0,1,56,7,1656533337,1,False,active,,
304,0,0,304,1,1,1,41,6,1656533381,1,False,active,,
305,3,0,305,1,0,1,27,19,1656533173,1,False,active,,
307,3,0,307,1,0,1,25,3,1656533201,1,False,active,,
308,1,0,308,1,0,1,45,2,1656533111,1,False,active,,
311,3,0,311,1,1,1,30,26,1656533320,1,False,active,,
312,6,0,312,1,3,1,19,8,1656533303,1,False,active,,
313,2,0,313,1,0,1,51,2,1656533033,1,False,active,,
315,1,0,315,1,1,1,28,0,1656533167,1,False,active,,
316,2,0,316,1,3,1,35,6,1656533357,1,False,active,,
317,1,1,317,1,1,1,16,49,1656533195,1,False,active,,
319,2,20,319,1,1,1,15,0,1656533326,1,False,active,"{'valet_revision': 11076, 'region': 'BKN', 'off_dock_count': 62, 'off_dock_capacity': 70, 'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'dock_blocked_count': 20, 'active': True}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,2,0,320,1,2,1,50,1,1656533019,1,False,active,,
321,1,0,321,1,1,1,35,2,1656533192,1,False,active,,
323,5,0,323,1,0,1,31,3,1656533205,1,False,active,,
324,1,0,324,1,0,1,73,0,1656530729,1,False,active,,
325,5,0,325,1,1,0,28,2,1656529700,0,False,active,,
326,2,0,326,1,1,1,4,35,1656533286,1,False,active,,
327,4,0,327,1,5,1,29,6,1656533369,1,False,active,,
328,2,0,328,1,2,1,22,11,1656533188,1,False,active,,
330,5,0,330,1,0,1,30,7,1656533240,1,False,active,,
331,1,0,331,1,1,1,21,5,1656533025,1,False,active,,
332,1,0,332,1,0,1,0,35,1656533074,1,False,active,,
334,2,0,334,1,1,1,6,36,1656533336,1,False,active,,
335,2,0,335,1,1,1,12,12,1656533365,1,False,active,,
336,3,0,336,1,0,1,29,25,1656533155,1,False,active,,
339,2,0,339,1,0,1,7,32,1656533168,1,False,active,,
340,0,0,340,1,1,1,14,13,1656533182,1,False,active,,
341,0,0,341,1,0,1,10,9,1656531304,1,False,active,,
342,1,0,342,1,0,1,7,21,1656533227,1,False,active,,
343,1,0,343,1,0,1,15,7,1656532569,1,False,active,,
344,2,0,344,1,0,1,3,18,1656532824,1,False,active,,
346,0,0,346,1,0,1,1,26,1656533092,1,False,active,,
347,3,0,347,1,1,1,22,29,1656533363,1,False,active,,
349,0,0,349,1,1,1,25,36,1656532818,1,False,active,,
350,8,0,350,1,0,1,9,29,1656533383,1,False,active,,
352,1,0,352,1,0,1,22,13,1656532784,1,False,active,,
353,2,0,353,1,0,1,15,10,1656532189,1,False,active,,
354,2,0,354,1,0,1,37,24,1656532779,1,False,active,,
355,0,0,355,1,2,1,39,4,1656533283,1,False,active,,
356,1,0,356,1,1,1,6,15,1656533266,1,False,active,,
358,1,0,358,1,2,1,25,24,1656533360,1,False,active,,
359,1,0,359,1,0,1,48,30,1656533369,1,False,active,,
360,2,0,360,1,4,1,31,5,1656533384,1,False,active,,
361,2,0,361,1,0,1,74,3,1656532363,1,False,active,,
362,0,0,362,1,1,1,18,37,1656533225,1,False,active,,
363,1,0,363,1,3,1,58,14,1656533365,1,False,active,,
364,1,0,364,1,2,1,21,5,1656533086,1,False,active,,
366,0,0,366,1,2,1,10,23,1656533173,1,False,active,,
367,1,0,367,1,1,1,45,11,1656533073,1,False,active,,
368,6,0,368,1,4,1,12,28,1656533338,1,False,active,,
369,2,0,369,1,3,1,27,47,1656532571,1,False,active,,
372,2,0,372,1,0,1,15,10,1656533157,1,False,active,,
373,0,0,373,1,0,1,16,3,1656533335,1,False,active,,
376,2,0,376,1,2,1,35,3,1656533366,1,False,active,,
377,3,0,377,1,0,1,30,16,1656533323,1,False,active,,
379,0,0,379,1,14,1,50,5,1656533173,1,False,active,,
380,5,0,380,1,2,1,19,17,1656533376,1,False,active,,
383,1,0,383,1,3,1,10,27,1656533376,1,False,active,,
385,0,0,385,1,0,1,11,18,1656533233,1,False,active,,
386,3,0,386,1,0,1,70,6,1656533378,1,False,active,,
387,4,0,387,1,0,1,29,6,1656533260,1,False,active,,
388,5,0,388,1,0,1,7,22,1656533360,1,False,active,,
389,1,0,389,1,1,1,14,12,1656533342,1,False,active,,
390,2,0,390,1,0,1,46,0,1656532645,1,False,active,,
391,1,0,391,1,0,1,23,18,1656533355,1,False,active,,
392,0,0,392,1,0,1,33,2,1656533255,1,False,active,,
393,0,0,393,1,0,1,4,33,1656532192,1,False,active,,
394,1,1,394,1,0,1,4,28,1656533322,1,False,active,,
396,1,0,396,1,0,1,10,14,1656531991,1,False,active,,
397,6,0,397,1,0,1,1,68,1656533012,1,False,active,,
398,2,0,398,1,2,1,31,3,1656533310,1,False,active,,
399,1,0,399,1,1,1,4,33,1656533277,1,False,active,,
400,0,0,400,1,1,1,5,10,1656533219,1,False,active,,
401,1,0,401,1,3,1,23,17,1656533270,1,False,active,,
403,4,0,403,1,1,1,39,14,1656533236,1,False,active,,
405,0,0,405,1,2,1,26,25,1656532456,1,False,active,,
406,1,0,406,1,2,1,9,10,1656533235,1,False,active,,
408,2,0,408,1,0,1,35,8,1656532708,1,False,active,,
410,1,0,410,1,1,1,24,54,1656533113,1,False,active,,
411,1,0,411,1,1,1,3,26,1656533196,1,False,active,,
412,2,0,412,1,0,1,19,8,1656533377,1,False,active,,
415,1,0,415,1,4,1,34,11,1656533103,1,False,active,,
416,1,0,416,1,2,1,16,14,1656533309,1,False,active,,
417,0,0,417,1,0,1,24,1,1656533237,1,False,active,,
418,0,0,418,1,3,0,36,1,1656528957,0,False,active,,
419,0,0,419,0,0,0,0,0,86400,0,False,out_of_service,,
420,1,0,420,1,0,1,16,34,1656531178,1,False,active,,
421,1,0,421,1,0,1,12,6,1656533107,1,False,active,,
422,8,0,422,1,0,1,0,104,1656533258,1,False,active,,
423,1,0,423,1,1,1,2,41,1656533226,1,False,active,,
426,4,0,426,1,4,1,75,2,1656533356,1,False,active,,
427,4,0,427,1,1,1,32,11,1656533072,1,False,active,,
428,2,0,428,1,1,1,10,29,1656532997,1,False,active,,
432,2,0,432,1,4,1,5,24,1656533333,1,False,active,,
434,7,0,434,1,0,1,46,7,1656533333,1,False,active,,
435,3,0,435,1,1,1,38,9,1656533283,1,False,active,,
436,0,0,436,1,1,1,20,7,1656532641,1,False,active,,
437,1,0,437,1,0,1,21,1,1656532554,1,False,active,,
438,2,1,438,1,1,1,6,37,1656533330,1,False,active,,
439,4,0,439,1,2,1,19,20,1656533101,1,False,active,,
440,4,2,440,1,1,1,22,4,1656533245,1,False,active,,
442,3,0,442,1,0,1,19,29,1656533353,1,False,active,,
443,4,0,443,1,1,1,10,9,1656532150,1,False,active,,
445,2,0,445,1,3,1,24,81,1656533266,1,False,active,,
446,0,0,446,0,0,0,0,0,86400,0,False,out_of_service,,
447,1,0,447,1,4,1,11,18,1656533291,1,False,active,,
448,1,0,448,1,0,1,2,24,1656533355,1,False,active,,
450,0,0,450,1,1,1,7,60,1656533164,1,False,active,,
453,0,0,453,1,5,1,18,47,1656533373,1,False,active,,
454,2,0,454,1,2,1,2,31,1656533251,1,False,active,,
455,1,0,455,1,0,1,48,10,1656533209,1,False,active,,
456,3,0,456,1,0,1,18,30,1656533339,1,False,active,,
457,4,0,457,1,1,1,5,70,1656533367,1,False,active,,
458,4,0,458,1,0,1,21,6,1656533117,1,False,active,,
460,3,0,460,1,0,1,16,6,1656533337,1,False,active,,
