station_id,num_bikes_available,last_reported,is_renting,num_docks_available,eightd_has_available_keys,is_returning,station_status,num_ebikes_available,num_bikes_disabled,is_installed,num_docks_disabled,legacy_id,valet,eightd_active_station_services
72,0,1656077952,0,55,False,0,out_of_service,0,0,0,0,72,,
79,12,1656530188,1,19,False,1,active,0,2,1,0,79,,
82,26,1656530289,1,0,False,1,active,2,1,1,0,82,,
83,26,1656530980,1,33,False,1,active,0,3,1,0,83,,
116,0,86400,0,0,False,0,out_of_service,0,0,0,0,116,,
119,51,1656525828,1,0,False,1,active,0,2,1,0,119,,
120,5,1656530305,1,14,False,1,active,0,0,1,0,120,,
127,17,1656531118,1,11,False,1,active,0,3,1,0,127,,
128,45,1656530880,1,9,False,1,active,2,2,1,0,128,,
143,47,1656530513,1,2,False,1,active,0,1,1,0,143,,
144,55,1656529437,1,2,False,1,active,0,1,1,0,144,,
146,38,1656530810,1,13,False,1,active,2,3,1,0,146,,
150,5,1656531012,1,50,False,1,active,0,1,1,0,150,,
151,22,1656531076,1,4,False,1,active,1,6,1,0,151,,
152,47,1656530755,1,0,False,1,active,1,2,1,0,152,,
153,32,1656531100,1,29,False,1,active,1,2,1,0,153,,
157,20,1656531028,1,2,False,1,active,3,1,1,0,157,,
161,27,1656531017,1,7,False,1,active,1,1,1,0,161,,
164,57,1656530988,1,16,False,1,active,1,4,1,0,164,,
168,38,1656531081,1,6,False,1,active,0,3,1,0,168,,
174,19,1656530972,1,15,False,1,active,0,1,1,0,174,,
212,52,1656531023,1,3,False,1,active,0,5,1,0,212,,
216,21,1656530856,1,15,False,1,active,2,1,1,0,216,,
217,1,1656530916,1,0,False,1,active,1,37,1,0,217,,
223,0,1656530831,1,0,False,1,active,0,6,1,27,223,,
224,24,1656531075,1,4,False,1,active,0,5,1,0,224,,
228,0,86400,0,0,False,0,active,0,0,1,0,228,,
229,16,1656531021,1,4,False,1,active,1,1,1,0,229,,
232,49,1656530722,1,1,False,1,active,1,1,1,0,232,,
236,26,1656530912,1,24,False,1,active,0,1,1,0,236,,
238,11,1656530940,1,18,False,1,active,3,2,1,0,238,,
239,58,1656531123,1,3,False,1,active,0,0,1,1,239,,
241,19,1656530793,1,4,False,1,active,0,0,1,0,241,,
242,0,86400,0,0,False,0,out_of_service,0,0,0,0,242,,
244,15,1656530523,1,35,False,1,active,0,1,1,0,244,,
245,50,1656531007,1,4,False,1,active,2,2,1,0,245,,
247,0,1656530901,1,0,False,1,active,0,58,1,0,247,,
248,76,1656531024,1,12,False,1,active,0,3,1,0,248,,
249,23,1656531013,1,4,False,1,active,0,0,1,0,249,,
250,22,1656531070,1,16,False,1,active,1,2,1,0,250,,
251,16,1656531091,1,6,False,1,active,1,3,1,0,251,,
252,9,1656531092,1,21,False,1,active,2,2,1,0,252,,
254,7,1656530995,1,37,False,1,active,0,3,1,0,254,,
257,37,1656531100,1,31,False,1,active,3,2,1,0,257,,
258,6,1656530532,1,14,False,1,active,1,3,1,0,258,,
259,30,1656530570,1,2,False,1,active,0,6,1,0,259,,
260,24,1656531008,1,4,False,1,active,0,4,1,0,260,,
261,38,1656531048,1,0,False,1,active,1,3,1,0,261,,
262,6,1656531053,1,15,False,1,active,0,3,1,0,262,,
264,26,1656530843,1,2,False,1,active,0,1,1,0,264,,
265,25,1656530860,1,10,False,1,active,1,0,1,0,265,,
266,3,1656531104,1,27,False,1,active,1,0,1,0,266,,
267,7,1656530354,1,69,False,1,active,3,1,1,0,267,,
268,22,1656530971,1,4,False,1,active,2,1,1,0,268,,
270,6,1656530899,1,21,False,1,active,1,1,1,0,270,,
275,3,1656531013,1,15,False,1,active,0,1,1,0,275,,
278,11,1656530582,1,6,False,1,active,0,2,1,0,278,,
281,43,1656531120,1,51,False,1,active,0,2,1,0,281,,
284,22,1656531125,1,22,False,1,active,0,7,1,0,284,,
285,49,1656531041,1,25,False,1,active,0,3,1,0,285,,
289,10,1656529721,1,8,False,1,active,0,1,1,0,289,,
291,4,1656531121,1,15,False,1,active,1,0,1,0,291,,
293,70,1656531037,1,17,False,1,active,0,4,1,0,293,,
294,45,1656530963,1,11,False,1,active,3,5,1,0,294,,
295,21,1656531050,1,3,False,1,active,1,0,1,0,295,,
297,16,1656531085,1,56,False,1,active,2,3,1,0,297,,
298,31,1656530533,1,2,False,1,active,0,2,1,0,298,,
301,4,1656531033,1,51,False,1,active,0,2,1,0,301,,
302,0,86400,1,0,False,1,active,0,0,1,0,302,,
303,60,1656531124,1,2,False,1,active,0,4,1,0,303,,
304,43,1656531060,1,2,False,1,active,3,2,1,0,304,,
305,36,1656530804,1,3,False,1,active,0,5,1,0,305,,
307,28,1656531016,1,0,False,1,active,1,3,1,0,307,,
308,42,1656530820,1,5,False,1,active,1,1,1,0,308,,
311,27,1656531123,1,28,False,1,active,0,4,1,0,311,,
312,17,1656531124,1,8,False,1,active,2,8,1,0,312,,
313,51,1656530739,1,2,False,1,active,0,2,1,0,313,,
315,20,1656531020,1,7,False,1,active,0,2,1,0,315,,
316,41,1656530949,1,0,False,1,active,5,2,1,0,316,,
317,16,1656531112,1,49,False,1,active,0,1,1,1,317,,
319,15,1656530967,1,0,False,1,active,2,2,1,20,319,"{'station_id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c', 'off_dock_capacity': 70, 'region': 'BKN', 'valet_revision': 11071, 'off_dock_count': 62, 'active': False, 'dock_blocked_count': 20}",[{'id': '66db79a3-0aca-11e7-82f6-3863bb44ef7c'}]
320,45,1656530930,1,6,False,1,active,0,2,1,0,320,,
321,36,1656530827,1,1,False,1,active,0,0,1,0,321,,
323,32,1656530375,1,2,False,1,active,0,5,1,0,323,,
324,73,1656530729,1,0,False,1,active,0,1,1,0,324,,
325,28,1656529700,0,2,False,0,active,1,5,1,0,325,,
326,1,1656531065,1,37,False,1,active,0,3,1,0,326,,
327,23,1656531097,1,13,False,1,active,1,3,1,0,327,,
